index,Date,AdjClose,pcs-1,pcs-2,pcs-3,pcs-4,pcs-5,pcs-6,pcs-7,pcs-8,pcs-9,pcs-10,vol-1,vol-2,vol-3,vol-4,vol-5,vol-6,vol-7,vol-8,vol-9,vol-10,AdjClose-1,trend-1,trend-2,trend-3
2016-12-06 00:00:00,2016-12-06 00:00:00,105.031227111816,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,-0.137208306380381,-0.200725995403692,0.25210321437252,-0.403147883512192,-0.0329480146248566,0.907719615929051,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,0.140702595000152,0.129762301887504,0.000933547636747523,0.131667099699445,0.119693265261127,0.146733361910765,104.228820800781,39,48,37
2016-12-07 00:00:00,2016-12-07 00:00:00,106.062927246094,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,-0.137208306380381,-0.200725995403692,0.25210321437252,-0.403147883512192,-0.0329480146248566,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,0.140702595000152,0.129762301887504,0.000933547636747523,0.131667099699445,0.119693265261127,105.031227111816,39,48,37
2016-12-08 00:00:00,2016-12-08 00:00:00,107.10417175293,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,-0.137208306380381,-0.200725995403692,0.25210321437252,-0.403147883512192,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,0.140702595000152,0.129762301887504,0.000933547636747523,0.131667099699445,106.062927246094,39,48,37
2016-12-09 00:00:00,2016-12-09 00:00:00,108.852294921875,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,-0.137208306380381,-0.200725995403692,0.25210321437252,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,0.140702595000152,0.129762301887504,0.000933547636747523,107.10417175293,39,48,37
2016-12-12 00:00:00,2016-12-12 00:00:00,108.231384277344,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,-0.137208306380381,-0.200725995403692,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,0.140702595000152,0.129762301887504,108.852294921875,47,39,37
2016-12-13 00:00:00,2016-12-13 00:00:00,110.036827087402,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,-0.137208306380381,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,0.140702595000152,108.231384277344,47,39,48
2016-12-14 00:00:00,2016-12-14 00:00:00,110.036827087402,1.00522355281319,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,-0.618820530849299,0.265325876973339,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,0.203268318311057,110.036827087402,47,39,48
2016-12-15 00:00:00,2016-12-15 00:00:00,110.638626098633,-0.0734628068182581,1.00522355281319,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,-0.676109084373537,0.185806305667593,0.265325876973339,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,0.210846528538773,110.036827087402,47,39,48
2016-12-16 00:00:00,2016-12-16 00:00:00,110.781929016113,0.280190786246852,-0.0734628068182581,1.00522355281319,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.168684184008133,0.288199023504254,0.185806305667593,0.265325876973339,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,0.124303630016794,110.638626098633,47,39,48
2016-12-19 00:00:00,2016-12-19 00:00:00,111.421943664551,0.0102926134326615,0.280190786246852,-0.0734628068182581,1.00522355281319,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,-0.538290034694459,0.270385393708758,0.288199023504254,0.185806305667593,0.265325876973339,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,0.188205334581342,110.781929016113,39,47,39
2016-12-20 00:00:00,2016-12-20 00:00:00,111.718086242676,0.300118945546255,0.0102926134326615,0.280190786246852,-0.0734628068182581,1.00522355281319,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.424355857694215,0.134560359715002,0.270385393708758,0.288199023504254,0.185806305667593,0.265325876973339,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,0.121578392183444,111.421943664551,39,47,39
2016-12-21 00:00:00,2016-12-21 00:00:00,111.823173522949,0.0984050996219505,0.300118945546255,0.0102926134326615,0.280190786246852,-0.0734628068182581,1.00522355281319,-0.442318235397832,0.981969310099952,0.56136183767527,0.561721429609781,0.0824784009533824,0.134560359715002,0.270385393708758,0.288199023504254,0.185806305667593,0.265325876973339,0.123044693080847,0.188845458114529,0.128732039043437,0.152750195274561,111.718086242676,39,47,39
